Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,7,4,708,+0.250,-0.487,+0.310,+00.0435,+00.0095,-09.1578,-00.001168,+00.000872,-00.000897,-076.548,+000.211,-000.004,+0.001116662,+1.46587E-003,-6.19420E-001,+7.85058E-001
-20,1,6,1,7,4,710,+0.250,-0.487,+0.310,+00.0176,-00.0101,-09.1652,+00.000342,+00.000833,-00.000704,-076.548,+000.211,-000.003,+0.001117992,+1.46532E-003,-6.19420E-001,+7.85058E-001
-20,1,6,1,7,4,713,+0.250,-0.490,+0.311,+00.0799,+00.0059,-09.1892,+00.000368,+00.000545,-00.000268,-076.548,+000.211,-000.003,+0.001117954,+1.46341E-003,-6.19420E-001,+7.85057E-001
-20,1,6,1,7,4,715,+0.250,-0.490,+0.311,+00.0528,+00.0108,-09.1743,-00.000299,+00.000663,+00.000296,-076.548,+000.211,-000.003,+0.001118158,+1.46413E-003,-6.19419E-001,+7.85059E-001
-20,1,6,1,7,4,718,+0.252,-0.490,+0.311,-00.0124,-00.0153,-09.1606,-00.000563,-00.000694,+00.001044,-076.547,+000.211,-000.004,+0.001116376,+1.46628E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,720,+0.257,-0.492,+0.314,+00.0398,-00.0011,-09.1612,-00.000867,-00.000095,+00.000014,-076.548,+000.211,-000.004,+0.001116906,+1.46864E-003,-6.19419E-001,+7.85059E-001
-20,1,6,1,7,4,723,+0.257,-0.492,+0.314,+00.0442,+00.0053,-09.1679,-00.000201,+00.001145,-00.000618,-076.548,+000.212,-000.004,+0.001118525,+1.46943E-003,-6.19419E-001,+7.85058E-001
-20,1,6,1,7,4,725,+0.253,-0.495,+0.311,-00.0057,-00.0286,-09.1353,-00.000322,+00.000519,-00.000443,-076.548,+000.212,-000.004,+0.001117849,+1.47075E-003,-6.19420E-001,+7.85058E-001
-20,1,6,1,7,4,728,+0.253,-0.495,+0.311,+00.0399,-00.0217,-09.1010,-00.001175,+00.000932,-00.000072,-076.548,+000.211,-000.003,+0.001117357,+1.46515E-003,-6.19420E-001,+7.85058E-001
-20,1,6,1,7,4,730,+0.250,-0.491,+0.310,+00.0328,-00.0029,-09.1107,-00.001001,+00.000468,+00.000815,-076.547,+000.211,-000.004,+0.001116309,+1.46529E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,733,+0.252,-0.492,+0.314,-00.0172,-00.0241,-09.1376,-00.001092,-00.001214,+00.000268,-076.548,+000.211,-000.004,+0.001113679,+1.46402E-003,-6.19419E-001,+7.85058E-001
-20,1,6,1,7,4,735,+0.252,-0.492,+0.314,+00.0418,-00.0130,-09.1518,-00.001647,-00.001714,-00.000549,-076.548,+000.211,-000.004,+0.001110766,+1.46403E-003,-6.19419E-001,+7.85058E-001
-20,1,6,1,7,4,738,+0.256,-0.491,+0.310,+00.0719,+00.0178,-09.1321,-00.000724,-00.000846,+00.000215,-076.548,+000.211,-000.004,+0.001113491,+1.46315E-003,-6.19419E-001,+7.85059E-001
-20,1,6,1,7,4,740,+0.256,-0.491,+0.310,+00.0061,-00.0077,-09.1299,-00.000077,+00.001086,+00.000927,-076.547,+000.211,-000.004,+0.001114841,+1.46596E-003,-6.19417E-001,+7.85060E-001
-20,1,6,1,7,4,743,+0.255,-0.492,+0.311,+00.0494,-00.0067,-09.1476,-00.000969,+00.000813,+00.001296,-076.547,+000.210,-000.004,+0.001111119,+1.46177E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,745,+0.255,-0.492,+0.309,+00.0837,+00.0057,-09.1598,-00.000341,-00.001105,+00.000964,-076.547,+000.210,-000.004,+0.00111073,+1.45984E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,748,+0.255,-0.492,+0.309,-00.0098,-00.0273,-09.1572,+00.001398,-00.000798,+00.000342,-076.547,+000.211,-000.004,+0.001117189,+1.46540E-003,-6.19415E-001,+7.85061E-001
-20,1,6,1,7,4,750,+0.251,-0.491,+0.309,+00.0178,-00.0091,-09.1469,+00.001164,-00.000137,-00.000293,-076.547,+000.211,-000.003,+0.001117363,+1.46513E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,753,+0.251,-0.491,+0.309,+00.0799,+00.0118,-09.1632,+00.000673,-00.000454,-00.000459,-076.547,+000.211,-000.003,+0.001117398,+1.46029E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,755,+0.252,-0.490,+0.307,+00.0209,-00.0196,-09.1714,+00.000025,-00.000376,+00.000508,-076.547,+000.211,-000.003,+0.001116427,+1.46117E-003,-6.19415E-001,+7.85062E-001
-20,1,6,1,7,4,758,+0.246,-0.488,+0.311,+00.0180,-00.0183,-09.1697,-00.000305,+00.000948,+00.000357,-076.547,+000.211,-000.003,+0.00111959,+1.45864E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,760,+0.246,-0.488,+0.311,+00.0740,+00.0051,-09.1929,+00.000511,+00.000842,+00.000042,-076.547,+000.211,-000.003,+0.001120055,+1.45805E-003,-6.19415E-001,+7.85062E-001
-20,1,6,1,7,4,763,+0.253,-0.490,+0.314,+00.0074,-00.0113,-09.2037,-00.000288,-00.000800,+00.000780,-076.547,+000.211,-000.003,+0.001121479,+1.46365E-003,-6.19414E-001,+7.85062E-001
