Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,59,243,+0.328,-0.413,+0.347,+00.0381,+00.0033,-09.1784,+00.000534,+00.000370,+00.000885,-078.032,+000.246,-000.016,+0.001240524,+1.75643E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,245,+0.326,-0.418,+0.345,+00.0883,+00.0422,-09.1810,+00.000024,+00.001418,-00.000650,-078.032,+000.246,-000.016,+0.001240659,+1.75879E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,248,+0.326,-0.418,+0.345,+00.0167,+00.0169,-09.1592,-00.000599,+00.001247,-00.000869,-078.032,+000.247,-000.017,+0.001241327,+1.76830E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,250,+0.324,-0.407,+0.343,+00.0191,-00.0075,-09.1459,+00.000044,+00.000534,-00.001147,-078.032,+000.247,-000.017,+0.001241589,+1.76827E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,253,+0.324,-0.407,+0.343,+00.0984,+00.0165,-09.1471,+00.000166,-00.000036,-00.000829,-078.032,+000.247,-000.017,+0.001240968,+1.76527E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,255,+0.325,-0.411,+0.341,+00.0469,-00.0052,-09.1697,+00.000137,-00.000632,-00.000031,-078.032,+000.247,-000.017,+0.001240239,+1.76383E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,258,+0.325,-0.411,+0.341,+00.0150,-00.0230,-09.1879,+00.000235,-00.000805,+00.000487,-078.032,+000.247,-000.017,+0.001241598,+1.76316E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,260,+0.328,-0.409,+0.347,+00.0713,+00.0128,-09.1620,-00.000050,-00.000303,+00.000025,-078.032,+000.247,-000.017,+0.001241678,+1.76395E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,263,+0.322,-0.411,+0.344,+00.0473,+00.0278,-09.1516,+00.000828,-00.000621,-00.000681,-078.032,+000.247,-000.017,+0.001243844,+1.76501E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,265,+0.322,-0.411,+0.344,+00.0296,+00.0184,-09.1580,+00.000439,-00.000305,-00.000128,-078.032,+000.247,-000.017,+0.001243094,+1.76651E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,268,+0.328,-0.412,+0.340,+00.0804,+00.0266,-09.1796,-00.001061,+00.000719,-00.000289,-078.033,+000.247,-000.017,+0.001240381,+1.76840E-003,-6.29540E-001,+7.76966E-001
-20,1,6,1,9,59,270,+0.328,-0.412,+0.340,+00.0478,+00.0041,-09.1806,-00.000609,+00.000111,-00.000275,-078.033,+000.247,-000.017,+0.001239551,+1.76801E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,273,+0.331,-0.412,+0.344,+00.0047,-00.0231,-09.1573,+00.000383,-00.001065,+00.000266,-078.032,+000.247,-000.017,+0.001240017,+1.76678E-003,-6.29539E-001,+7.76966E-001
