,QuatX,QuatY,QuatZ,QuatS
63,0.001124502,0.00147499,-0.619416,0.78506
64,0.001123731,0.00146542,-0.619417,0.785061
65,0.00112326,0.00146524,-0.619417,0.78506
66,0.001125642,0.00147379,-0.619416,0.785061
67,0.001126665,0.00147273,-0.619417,0.78506
68,0.00112468,0.00146629,-0.619416,0.785061
69,0.001124543,0.0014637,-0.619417,0.78506
70,0.001116297,0.001464,-0.619417,0.78506
71,0.001117219,0.00146347,-0.619417,0.78506
72,0.001118704,0.00147306,-0.619417,0.78506
73,0.001120576,0.0014757,-0.619416,0.785061
74,0.001118689,0.00146711,-0.619416,0.785061
75,0.001119736,0.0014666,-0.619415,0.785061
76,0.001117244,0.00147512,-0.619415,0.785061
77,0.001117244,0.00147512,-0.619415,0.785061
78,0.001120977,0.00148125,-0.619415,0.785062
79,0.001120684,0.00148034,-0.619416,0.785061
80,0.001119115,0.00147191,-0.619416,0.785061
81,0.001119663,0.00147362,-0.619416,0.785061
82,0.001116924,0.00147608,-0.619417,0.78506
83,0.001116327,0.00147607,-0.619417,0.78506
84,0.00111367,0.00148019,-0.619417,0.78506
85,0.001114116,0.00147866,-0.619416,0.785061
86,0.001111293,0.00147162,-0.619417,0.78506
87,0.001111392,0.00147203,-0.619418,0.785059
88,0.001114595,0.00148198,-0.619419,0.785059
89,0.00111431,0.00148364,-0.619419,0.785059
90,0.001112961,0.0014899,-0.619419,0.785059
91,0.001113184,0.00149093,-0.619418,0.785059
92,0.001103955,0.00148991,-0.619417,0.78506
93,0.001102841,0.00149042,-0.619418,0.78506
94,0.001104474,0.00150167,-0.619417,0.78506
95,0.001103579,0.00150018,-0.619419,0.785059
96,0.001098847,0.00149967,-0.619419,0.785058
97,0.001100744,0.00149817,-0.619418,0.785059
98,0.001094763,0.00149903,-0.619418,0.785059
99,0.001093416,0.00149716,-0.619417,0.78506
100,0.001097683,0.00150307,-0.619417,0.78506
101,0.001097346,0.00150117,-0.619417,0.78506
102,0.001093268,0.00149634,-0.619419,0.785059
103,0.001090879,0.00149518,-0.619418,0.78506
104,0.001092802,0.00149493,-0.619419,0.785059
105,0.001092688,0.0014943,-0.61942,0.785058
106,0.001093783,0.00150226,-0.61942,0.785058
107,0.001093929,0.00150159,-0.619419,0.785058
108,0.001088293,0.00149516,-0.61942,0.785058
