,xAcc,yAcc,zAcc
237,-0.0044,0.0132,-9.1404
238,0.0413,0.02,-9.1433
239,0.0661,0.0217,-9.1432
240,-0.0008,0.0055,-9.1424
241,0.0291,0.0018,-9.1669
242,0.062,0.0,-9.1752
243,0.0032,-0.0021,-9.1619
244,0.0397,0.0171,-9.174
245,0.063,0.023,-9.1536
246,-0.0148,0.0075,-9.1125
247,-0.0009,0.0157,-9.1297
248,0.0519,0.0405,-9.1587
249,-0.0102,0.022,-9.1717
250,-0.0034,0.0047,-9.1803
251,0.0596,0.0163,-9.1797
252,0.0057,0.0055,-9.1821
253,0.0055,-0.0128,-9.1641
254,0.0508,0.0209,-9.175
255,0.0006,0.0323,-9.2059
256,0.0079,0.0221,-9.1934
257,0.0833,0.0441,-9.1946
258,0.0391,0.0325,-9.1724
259,0.0034,0.0182,-9.171
260,0.0649,0.0302,-9.1984
261,0.0321,0.0356,-9.1762
262,-0.0065,0.0074,-9.15
263,0.0836,0.0265,-9.1549
264,0.0869,0.0348,-9.1525
265,0.0171,-0.0194,-9.1459
266,0.0612,-0.008,-9.1435
267,0.0578,0.0069,-9.1529
268,0.0071,-0.016,-9.1587
269,0.0619,-0.0029,-9.1424
270,0.0728,0.0033,-9.1382
271,0.0204,-0.0112,-9.1462
272,0.0658,0.0009,-9.1711
273,0.0878,-0.0011,-9.1649
274,0.0275,-0.0252,-9.1562
275,0.0677,-0.017,-9.1506
276,0.0895,0.0011,-9.1617
277,0.0114,-0.0102,-9.18
278,0.0168,-0.0162,-9.1447
279,0.0561,-0.012,-9.1522
280,0.0194,-0.0264,-9.1768
281,0.0307,-0.0219,-9.2
282,0.0817,0.0066,-9.1969
283,0.0214,-0.0016,-9.1712
284,0.0237,0.0089,-9.1716
285,0.0999,0.0251,-9.1717
286,0.0301,-0.0081,-9.1661
287,0.0121,-0.0189,-9.1706
288,0.0899,0.005,-9.1859
289,0.0397,0.0129,-9.1789
290,-0.0074,-0.0001,-9.1686
291,0.048,-0.0002,-9.155
292,0.0222,-0.0012,-9.1489
293,-0.0003,-0.0228,-9.1686
294,0.0911,-0.0237,-9.1733
295,0.0649,-0.0056,-9.1776
296,-0.0048,-0.0058,-9.1769
297,0.0661,-0.0009,-9.1607
298,0.0561,0.004,-9.164
299,-0.0267,-0.027,-9.1349
300,0.0279,-0.0027,-9.1196
301,0.0539,0.0336,-9.1359
