,xAcc,yAcc,zAcc
386,0.1521,-0.0415,-9.1438
387,0.2025,-0.0536,-9.2041
388,0.3219,0.01,-9.2459
389,0.2065,0.0269,-9.2255
390,0.0417,-0.0049,-9.2028
391,0.0692,0.0197,-9.1772
392,0.0849,0.0078,-9.176
393,0.0989,-0.0435,-9.1819
394,0.2331,-0.0211,-9.199
395,0.2784,-0.0185,-9.2497
396,0.2384,-0.0602,-9.283
397,0.2838,-0.0247,-9.2792
398,0.2458,0.0109,-9.238
399,0.1396,-0.0172,-9.1797
400,0.1651,-0.0146,-9.1434
401,0.1623,0.0296,-9.1422
402,0.0591,0.0153,-9.1459
403,0.1034,-0.0134,-9.1523
404,0.1666,0.031,-9.1669
405,0.1052,0.0275,-9.174
406,0.1484,0.0114,-9.1668
407,0.2086,0.0361,-9.1645
408,0.1427,0.0182,-9.151
409,0.1646,0.0263,-9.1403
410,0.1981,0.0973,-9.1909
411,0.1407,0.0715,-9.1945
412,0.1971,-0.0141,-9.1462
413,0.3077,-0.0134,-9.1972
414,0.2865,-0.0231,-9.242
415,0.2466,-0.0366,-9.1968
416,0.2599,0.0144,-9.1641
417,0.1946,0.0312,-9.1373
418,0.1651,0.0182,-9.1216
419,0.2463,0.0251,-9.1506
420,0.228,0.0133,-9.1535
421,0.1827,0.0019,-9.1421
422,0.276,0.0119,-9.173
423,0.3062,-0.0098,-9.2088
424,0.3013,-0.0502,-9.2273
425,0.3677,-0.0326,-9.2431
426,0.3467,0.0123,-9.2777
427,0.2735,0.0179,-9.2783
428,0.2836,0.0293,-9.2265
429,0.2915,0.0333,-9.1791
430,0.2656,-0.0186,-9.1384
431,0.3429,-0.0296,-9.1383
432,0.361,-0.0351,-9.153
433,0.2681,-0.0605,-9.1402
434,0.2946,-0.0278,-9.1702
435,0.3365,-0.0064,-9.2103
436,0.2862,-0.0387,-9.1811
437,0.3142,-0.0275,-9.1567
438,0.3543,0.0281,-9.1596
439,0.2876,0.0333,-9.1777
440,0.3313,0.0237,-9.217
441,0.4233,0.0356,-9.2184
442,0.3923,-0.0217,-9.1743
443,0.3955,-0.0768,-9.1422
444,0.4346,-0.0541,-9.1427
445,0.3592,-0.0442,-9.1381
446,0.3375,-0.0367,-9.1013
447,0.4054,-0.0023,-9.0853
448,0.3562,0.0249,-9.0981
449,0.3419,0.0173,-9.1127
450,0.3946,0.0162,-9.1384
451,0.3676,-0.0223,-9.1571
452,0.4028,-0.0616,-9.1815
453,0.5136,-0.0336,-9.2097
454,0.4947,-0.027,-9.2231
455,0.429,-0.0291,-9.2186
456,0.4963,-0.0146,-9.2182
457,0.4872,-0.0189,-9.2443
458,0.4651,-0.0686,-9.2534
459,0.56,-0.113,-9.2823
460,0.4894,-0.1467,-9.3046
461,0.3926,-0.1001,-9.2902
462,0.4992,-0.0069,-9.3197
463,0.5292,0.0238,-9.3017
464,0.5001,0.0286,-9.2816
465,0.6092,0.0298,-9.2748
466,0.6442,0.0447,-9.2501
467,0.6144,0.0422,-9.2571
468,0.6712,0.0207,-9.2704
469,0.6604,0.0045,-9.2664
470,0.5625,0.0099,-9.2917
471,0.5705,0.0407,-9.2294
472,0.5994,0.1111,-9.185
473,0.5532,0.1284,-9.1613
474,0.5579,0.0942,-9.0703
475,0.54,0.1022,-9.1009
476,0.459,0.0998,-9.0717
477,0.5026,0.0648,-9.0064
478,0.6082,0.0578,-9.0543
479,0.5913,0.0226,-9.0552
480,0.6102,-0.0189,-9.0136
481,0.6908,-0.0068,-9.0183
482,0.629,-0.0189,-9.0307
483,0.6282,-0.0136,-9.0202
484,0.7617,0.0173,-9.0051
485,0.7457,-0.0193,-9.0058
486,0.6743,-0.0499,-9.0017
487,0.7235,-0.0083,-8.9845
488,0.7106,-0.0265,-9.0048
489,0.6814,-0.0539,-9.0357
490,0.7885,0.012,-9.064
491,0.8068,0.0414,-9.0855
492,0.7644,0.0086,-9.0752
493,0.8409,0.0,-9.0868
494,0.8268,-0.0112,-9.0755
495,0.7409,-0.0305,-9.0464
496,0.7983,-0.0132,-9.049
497,0.8138,0.0041,-9.0635
498,0.7264,0.025,-9.0754
499,0.7482,0.0815,-9.0706
500,0.7701,0.0984,-9.0301
501,0.7229,0.0692,-8.9696
502,0.7906,0.0622,-8.9526
503,0.8688,0.0488,-8.9883
504,0.827,-0.012,-9.0125
505,0.8604,-0.03,-9.0345
506,0.9137,0.0044,-9.0889
507,0.8532,-0.0113,-9.1384
508,0.8727,0.0043,-9.1353
509,0.9023,0.0593,-9.113
510,0.8078,0.0442,-9.1119
511,0.8249,0.0204,-9.1225
512,0.9194,0.0138,-9.1243
513,0.8917,-0.0166,-9.1325
514,0.9236,-0.0307,-9.1728
515,1.0338,-0.0092,-9.1868
516,0.9895,0.0189,-9.2066
517,0.9329,0.0348,-9.2066
518,0.9613,0.0474,-9.153
519,0.9161,0.0576,-9.1058
520,0.8866,0.0456,-9.0855
521,0.9399,0.0654,-9.1026
522,0.9181,0.0542,-9.1306
523,0.9015,-0.0071,-9.1791
524,1.0483,0.0507,-9.1936
525,1.0565,0.1552,-9.142
526,0.8232,0.072,-9.1154
527,0.823,-0.0763,-9.1342
528,0.979,-0.0765,-9.1391
529,0.9819,0.0328,-9.1363
530,1.0122,0.1267,-9.1611
531,1.0017,0.1222,-9.1512
532,0.9099,0.0467,-9.1196
533,0.9521,-0.0144,-9.1011
534,0.9734,-0.0201,-9.1092
535,0.9022,-0.0273,-9.1554
536,0.9985,-0.0049,-9.1732
537,1.106,0.0191,-9.1628
538,0.9593,-0.0305,-9.1073
539,0.8769,-0.0743,-9.0894
540,0.9347,-0.0709,-9.1141
541,0.9282,-0.0508,-9.0808
542,0.9912,0.01,-9.0458
543,1.0668,0.1041,-9.0247
544,1.0166,0.1184,-9.0269
545,1.0085,0.0896,-9.0468
546,1.0746,0.0851,-9.0622
547,1.0087,0.0218,-9.0603
548,0.9869,-0.0196,-9.0619
549,1.0786,0.0227,-9.0878
550,1.0241,0.0092,-9.1298
551,0.9865,-0.0189,-9.194
552,1.0889,0.0034,-9.2284
553,1.0796,0.0072,-9.247
554,1.0257,-0.0115,-9.281
555,1.0817,0.0071,-9.2993
556,1.0587,0.0357,-9.3103
557,0.9897,0.0281,-9.3094
558,1.0388,0.0547,-9.2657
559,1.0541,0.0864,-9.2242
560,1.0056,0.0624,-9.2109
561,1.0912,0.0769,-9.2043
562,1.1352,0.1021,-9.1825
563,1.0647,0.0848,-9.156
564,1.0962,0.102,-9.1013
565,1.1142,0.1303,-9.0584
566,1.0355,0.1283,-9.0394
567,1.0591,0.1514,-9.0029
568,1.1325,0.154,-8.9837
569,1.1011,0.1149,-8.9782
570,1.1222,0.1182,-9.0354
571,1.1669,0.1485,-9.0876
572,1.1049,0.1195,-9.0927
573,1.1364,0.0631,-9.0905
574,1.2195,0.0688,-9.0949
575,1.1427,0.063,-9.1255
576,1.1416,0.061,-9.1718
577,1.2191,0.1624,-9.2032
578,1.1654,0.2471,-9.2226
579,1.1563,0.2497,-9.2638
580,1.2228,0.218,-9.2888
581,1.2074,0.1271,-9.2932
582,1.2031,0.0487,-9.2752
583,1.2588,0.068,-9.2513
584,1.2327,0.1111,-9.2302
585,1.2719,0.165,-9.1807
586,1.3499,0.2818,-9.1253
587,1.2283,0.2905,-9.0958
588,1.1627,0.2293,-9.0875
589,1.2796,0.2563,-9.0637
590,1.2911,0.248,-9.0053
591,1.2144,0.2089,-8.9428
592,1.2698,0.2478,-8.9312
593,1.2972,0.2633,-8.9274
594,1.2382,0.2172,-8.9244
595,1.2813,0.1755,-8.9448
596,1.309,0.1161,-8.966
597,1.2265,0.0657,-8.967
598,1.2615,0.0678,-8.9592
599,1.3128,0.1067,-8.9421
600,1.2116,0.1007,-8.8948
601,1.2364,0.0971,-8.8868
602,1.3407,0.1657,-8.9322
603,1.3013,0.2155,-8.9635
604,1.3255,0.247,-8.9728
605,1.4125,0.308,-8.9833
606,1.3825,0.3428,-8.9813
607,1.4029,0.349,-9.0027
608,1.4695,0.3842,-9.0536
609,1.3674,0.3585,-9.0891
610,1.3322,0.2735,-9.126
611,1.4204,0.2778,-9.184
612,1.3789,0.2924,-9.2252
613,1.3653,0.2677,-9.2553
614,1.4585,0.2828,-9.2816
615,1.417,0.3145,-9.2604
616,1.3837,0.3471,-9.2212
617,1.465,0.3966,-9.2373
618,1.4385,0.3617,-9.2359
619,1.4158,0.2933,-9.1936
620,1.4817,0.3339,-9.188
621,1.4485,0.3469,-9.1617
622,1.3941,0.3034,-9.1136
623,1.4626,0.2969,-9.0525
624,1.4636,0.3095,-8.9737
625,1.4084,0.3156,-8.9395
626,1.4743,0.3074,-8.9767
627,1.4987,0.2872,-9.0194
628,1.4242,0.2622,-9.0446
629,1.4592,0.2749,-9.0564
630,1.4851,0.2537,-9.0349
631,1.4327,0.1895,-9.0323
632,1.5044,0.2426,-9.013
633,1.5645,0.3624,-8.9334
634,1.522,0.465,-8.8383
635,1.5573,0.5644,-8.8068
636,1.6088,0.5991,-8.8531
637,1.5707,0.5404,-8.9516
638,1.5595,0.4485,-9.0271
639,1.606,0.3923,-9.0851
640,1.565,0.3671,-9.1382
641,1.5624,0.3986,-9.1502
642,1.6604,0.4889,-9.1844
643,1.633,0.5334,-9.1693
644,1.6237,0.5291,-9.1358
645,1.6898,0.5433,-9.123
646,1.6262,0.5114,-9.0643
647,1.572,0.4499,-9.0698
648,1.6476,0.4494,-9.0971
649,1.6491,0.4627,-9.0701
650,1.6287,0.5094,-9.0452
651,1.6877,0.6131,-9.0098
652,1.6808,0.655,-8.9558
653,1.656,0.6345,-8.9354
654,1.7114,0.6408,-8.9509
655,1.7009,0.6005,-8.9462
656,1.6425,0.516,-8.9395
657,1.7037,0.4873,-8.9298
658,1.7263,0.4818,-8.9165
659,1.6568,0.4575,-8.8788
660,1.6831,0.4596,-8.843
661,1.7176,0.4604,-8.8587
662,1.7022,0.459,-8.8526
663,1.7586,0.525,-8.8236
664,1.7641,0.5852,-8.8509
665,1.7103,0.5629,-8.8868
666,1.7526,0.5162,-8.9044
667,1.8026,0.5109,-8.956
668,1.729,0.5179,-9.0025
669,1.7324,0.5404,-9.0273
670,1.7984,0.5718,-9.0744
671,1.7359,0.5544,-9.1047
672,1.7495,0.5588,-9.0916
673,1.8421,0.6091,-9.0799
674,1.8009,0.6087,-9.064
675,1.8064,0.6129,-9.0437
676,1.8817,0.652,-9.0268
677,1.8104,0.6276,-9.0027
678,1.7526,0.579,-8.9797
679,1.8196,0.59,-9.002
680,1.8025,0.6097,-9.0235
681,1.7823,0.6026,-8.9727
682,1.8861,0.6101,-8.955
683,1.8732,0.6449,-8.9596
684,1.8093,0.6477,-8.9211
685,1.8841,0.6189,-8.917
686,1.8885,0.5966,-8.9517
687,1.8178,0.5667,-8.9555
688,1.8683,0.547,-8.9381
689,1.89,0.5685,-8.9229
690,1.8545,0.6171,-8.8773
691,1.9291,0.6831,-8.8412
692,1.9539,0.7393,-8.8179
693,1.8675,0.719,-8.8
694,1.8995,0.6734,-8.8126
695,1.9561,0.697,-8.8384
696,1.8962,0.7281,-8.863
697,1.9289,0.7093,-8.8593
698,1.9772,0.7012,-8.896
699,1.9055,0.7029,-8.9478
700,1.945,0.7038,-8.9983
701,1.985,0.7074,-9.025
702,1.9056,0.7042,-8.9965
703,1.939,0.7236,-9.0033
704,1.9974,0.762,-8.9789
705,1.9255,0.7433,-8.9165
706,1.9399,0.7091,-8.8852
707,2.0129,0.7253,-8.8756
708,1.9347,0.7081,-8.8806
709,1.8994,0.6832,-8.8789
710,1.9838,0.6861,-8.8862
711,1.9657,0.6891,-8.8815
712,1.9515,0.7239,-8.8483
713,2.0262,0.7793,-8.8531
714,2.002,0.7841,-8.8321
715,1.9623,0.7476,-8.819
716,2.0155,0.7525,-8.846
717,2.0051,0.7363,-8.8443
718,1.9538,0.698,-8.8282
719,2.0216,0.7153,-8.8382
720,2.0158,0.7291,-8.8486
721,1.946,0.7219,-8.8322
722,2.0119,0.7434,-8.8537
723,2.0288,0.758,-8.8816
724,1.9881,0.7315,-8.891
725,2.0412,0.7416,-8.93
726,2.0531,0.7772,-8.9466
727,1.9888,0.7338,-8.9408
728,2.0316,0.7398,-8.9511
729,2.0737,0.7801,-8.9504
730,2.0101,0.7629,-8.9385
731,2.0353,0.788,-8.9158
732,2.066,0.823,-8.9277
733,2.012,0.8127,-8.9665
734,2.0434,0.7922,-8.9496
735,2.0914,0.7943,-8.9263
736,2.0266,0.7799,-8.9267
737,2.0331,0.8061,-8.9302
738,2.1032,0.888,-8.9472
739,2.0478,0.8719,-8.9349
740,2.0567,0.8415,-8.8736
741,2.1117,0.8771,-8.8496
742,2.038,0.8309,-8.8621
743,2.0073,0.7422,-8.8579
744,2.0557,0.6958,-8.8817
745,2.0286,0.67,-8.9023
746,2.0044,0.6671,-8.9011
747,2.0889,0.71,-8.8843
748,2.096,0.7759,-8.8876
749,2.0441,0.7706,-8.9128
750,2.0927,0.7619,-8.9298
751,2.0806,0.7876,-8.9708
752,2.0269,0.7647,-9.0291
753,2.074,0.7609,-9.0636
754,2.0657,0.7551,-9.0707
755,2.0217,0.7395,-9.0784
756,2.0997,0.767,-9.0832
757,2.1174,0.7857,-9.0687
758,2.0337,0.7708,-9.0514
759,2.0846,0.7631,-9.0435
760,2.1187,0.7415,-9.0106
761,2.0461,0.7112,-9.0031
762,2.091,0.7292,-8.997
763,2.1257,0.7331,-8.9679
764,2.0521,0.6965,-8.9661
765,2.0863,0.6943,-8.9672
766,2.1232,0.7193,-8.9529
767,2.0487,0.7156,-8.9611
768,2.08,0.7411,-8.997
769,2.1494,0.775,-9.0112
770,2.0989,0.748,-8.9864
771,2.0979,0.718,-8.975
