,Yaw,Pitch,Roll
380,-76.552,0.215,-0.008
381,-76.553,0.215,-0.008
382,-76.553,0.216,-0.009
383,-76.553,0.216,-0.009
384,-76.553,0.216,-0.008
385,-76.553,0.215,-0.008
386,-76.553,0.216,-0.008
387,-76.553,0.216,-0.009
388,-76.553,0.216,-0.009
389,-76.553,0.216,-0.009
390,-76.553,0.216,-0.009
391,-76.553,0.216,-0.009
392,-76.553,0.216,-0.009
393,-76.553,0.216,-0.009
394,-76.553,0.216,-0.009
395,-76.553,0.216,-0.009
396,-76.553,0.215,-0.009
397,-76.553,0.215,-0.009
398,-76.553,0.216,-0.01
399,-76.553,0.216,-0.01
400,-76.553,0.216,-0.01
401,-76.553,0.216,-0.01
402,-76.553,0.216,-0.01
403,-76.553,0.216,-0.01
404,-76.553,0.216,-0.01
405,-76.553,0.216,-0.01
406,-76.554,0.216,-0.01
407,-76.554,0.216,-0.01
408,-76.554,0.215,-0.01
409,-76.554,0.215,-0.01
410,-76.554,0.216,-0.01
411,-76.554,0.215,-0.01
412,-76.554,0.215,-0.01
413,-76.554,0.215,-0.01
414,-76.554,0.215,-0.01
415,-76.554,0.214,-0.01
416,-76.554,0.215,-0.01
417,-76.554,0.215,-0.01
418,-76.554,0.214,-0.009
419,-76.554,0.214,-0.009
420,-76.554,0.214,-0.01
421,-76.554,0.214,-0.01
422,-76.554,0.214,-0.009
423,-76.554,0.214,-0.009
424,-76.554,0.214,-0.009
425,-76.554,0.214,-0.009
426,-76.554,0.214,-0.009
427,-76.554,0.214,-0.009
428,-76.554,0.214,-0.009
429,-76.554,0.214,-0.009
430,-76.554,0.213,-0.009
431,-76.554,0.213,-0.009
432,-76.554,0.214,-0.009
433,-76.554,0.214,-0.009
434,-76.554,0.214,-0.009
435,-76.554,0.214,-0.009
436,-76.554,0.213,-0.009
437,-76.554,0.213,-0.009
438,-76.554,0.214,-0.009
439,-76.554,0.214,-0.009
440,-76.554,0.213,-0.009
441,-76.554,0.213,-0.008
442,-76.554,0.213,-0.008
443,-76.554,0.213,-0.008
444,-76.554,0.213,-0.008
445,-76.554,0.213,-0.008
446,-76.554,0.212,-0.008
447,-76.554,0.212,-0.008
448,-76.554,0.212,-0.007
449,-76.554,0.212,-0.007
450,-76.554,0.213,-0.007
451,-76.554,0.213,-0.007
452,-76.554,0.213,-0.007
453,-76.554,0.213,-0.007
454,-76.554,0.213,-0.006
455,-76.555,0.213,-0.006
456,-76.555,0.213,-0.006
457,-76.555,0.213,-0.006
458,-76.555,0.212,-0.006
459,-76.555,0.213,-0.006
460,-76.555,0.214,-0.006
461,-76.555,0.213,-0.006
462,-76.555,0.214,-0.006
463,-76.555,0.214,-0.007
464,-76.555,0.213,-0.006
465,-76.555,0.213,-0.006
466,-76.555,0.214,-0.006
467,-76.555,0.214,-0.007
468,-76.555,0.214,-0.006
469,-76.555,0.214,-0.006
470,-76.555,0.214,-0.007
471,-76.555,0.214,-0.007
472,-76.555,0.215,-0.007
473,-76.555,0.214,-0.007
474,-76.555,0.214,-0.007
475,-76.555,0.214,-0.007
476,-76.555,0.214,-0.008
477,-76.555,0.214,-0.007
478,-76.555,0.214,-0.008
479,-76.555,0.214,-0.008
480,-76.555,0.214,-0.008
481,-76.555,0.213,-0.008
482,-76.555,0.213,-0.008
483,-76.555,0.214,-0.008
484,-76.555,0.214,-0.008
485,-76.555,0.214,-0.008
486,-76.555,0.213,-0.008
487,-76.555,0.213,-0.008
488,-76.555,0.213,-0.008
489,-76.555,0.214,-0.008
490,-76.555,0.214,-0.008
491,-76.555,0.214,-0.008
492,-76.555,0.213,-0.008
493,-76.555,0.213,-0.008
494,-76.555,0.214,-0.008
495,-76.555,0.214,-0.008
496,-76.556,0.214,-0.008
497,-76.556,0.214,-0.008
498,-76.556,0.213,-0.008
499,-76.556,0.213,-0.008
500,-76.555,0.214,-0.008
501,-76.556,0.214,-0.009
502,-76.556,0.213,-0.008
503,-76.556,0.213,-0.008
504,-76.556,0.213,-0.008
505,-76.556,0.213,-0.008
506,-76.555,0.213,-0.008
507,-76.556,0.213,-0.008
508,-76.556,0.213,-0.008
509,-76.556,0.213,-0.008
510,-76.556,0.213,-0.008
511,-76.556,0.213,-0.008
512,-76.556,0.214,-0.008
513,-76.556,0.214,-0.008
514,-76.555,0.213,-0.007
515,-76.556,0.213,-0.007
516,-76.556,0.213,-0.007
517,-76.556,0.213,-0.007
518,-76.556,0.214,-0.007
519,-76.556,0.213,-0.007
520,-76.556,0.213,-0.007
521,-76.556,0.213,-0.007
522,-76.556,0.213,-0.007
523,-76.556,0.213,-0.007
524,-76.556,0.213,-0.007
525,-76.556,0.213,-0.007
526,-76.556,0.213,-0.007
527,-76.556,0.212,-0.007
528,-76.556,0.213,-0.007
529,-76.556,0.213,-0.007
530,-76.556,0.213,-0.007
531,-76.556,0.213,-0.007
532,-76.556,0.213,-0.007
533,-76.556,0.212,-0.007
534,-76.556,0.213,-0.008
535,-76.556,0.214,-0.007
536,-76.556,0.213,-0.007
537,-76.556,0.213,-0.007
538,-76.556,0.213,-0.007
539,-76.557,0.213,-0.007
540,-76.557,0.214,-0.007
541,-76.557,0.214,-0.007
542,-76.556,0.214,-0.007
543,-76.556,0.214,-0.007
544,-76.556,0.214,-0.007
545,-76.556,0.214,-0.007
546,-76.556,0.214,-0.008
547,-76.557,0.214,-0.007
548,-76.557,0.214,-0.007
549,-76.557,0.213,-0.007
550,-76.557,0.214,-0.007
551,-76.557,0.214,-0.007
552,-76.557,0.214,-0.008
553,-76.557,0.214,-0.008
554,-76.557,0.213,-0.008
555,-76.557,0.213,-0.008
556,-76.557,0.214,-0.008
557,-76.557,0.214,-0.008
558,-76.557,0.214,-0.008
559,-76.557,0.214,-0.008
560,-76.557,0.213,-0.008
561,-76.558,0.213,-0.008
562,-76.558,0.213,-0.008
563,-76.558,0.213,-0.008
564,-76.558,0.213,-0.008
565,-76.558,0.212,-0.008
566,-76.558,0.213,-0.008
567,-76.558,0.213,-0.008
568,-76.558,0.213,-0.008
569,-76.558,0.213,-0.009
570,-76.558,0.213,-0.009
571,-76.558,0.213,-0.009
572,-76.558,0.213,-0.009
573,-76.558,0.213,-0.009
574,-76.558,0.213,-0.009
575,-76.558,0.213,-0.009
576,-76.559,0.212,-0.009
577,-76.559,0.212,-0.009
578,-76.559,0.212,-0.009
579,-76.558,0.212,-0.009
580,-76.558,0.213,-0.009
581,-76.558,0.213,-0.009
582,-76.558,0.212,-0.009
583,-76.558,0.212,-0.009
584,-76.558,0.212,-0.009
585,-76.558,0.212,-0.009
586,-76.558,0.213,-0.008
587,-76.558,0.213,-0.008
588,-76.558,0.212,-0.008
589,-76.558,0.212,-0.008
590,-76.558,0.213,-0.008
591,-76.558,0.213,-0.008
592,-76.558,0.213,-0.007
593,-76.558,0.213,-0.008
594,-76.558,0.213,-0.008
595,-76.558,0.213,-0.008
596,-76.558,0.214,-0.008
597,-76.558,0.214,-0.007
598,-76.558,0.214,-0.007
599,-76.558,0.213,-0.007
600,-76.558,0.213,-0.006
601,-76.558,0.213,-0.006
602,-76.558,0.214,-0.006
603,-76.558,0.213,-0.006
604,-76.558,0.213,-0.006
605,-76.558,0.213,-0.006
606,-76.558,0.213,-0.006
607,-76.558,0.213,-0.006
608,-76.558,0.214,-0.006
609,-76.558,0.214,-0.006
610,-76.559,0.213,-0.006
611,-76.559,0.213,-0.006
612,-76.559,0.213,-0.006
613,-76.559,0.214,-0.006
614,-76.559,0.214,-0.006
615,-76.559,0.214,-0.006
