,xAcc,yAcc,zAcc
248,-0.051,0.0081,1.0315
249,-0.0549,0.02,1.0542
250,-0.0562,0.0225,1.0681
251,-0.0618,0.0212,1.0791
252,-0.0596,0.0249,1.095
253,-0.0667,0.0303,1.1096
254,-0.0642,0.0259,1.124
255,-0.0674,0.0264,1.1423
256,-0.0649,0.0127,1.1624
257,-0.0708,0.0132,1.1716
258,-0.072,0.021,1.1843
259,-0.0774,0.0176,1.1904
260,-0.0801,0.0242,1.2053
261,-0.0813,0.0247,1.2124
262,-0.0771,0.0112,1.2263
263,-0.0862,0.0056,1.2185
264,-0.0879,0.0159,1.2241
265,-0.0925,0.0164,1.2319
266,-0.0879,0.0242,1.2444
267,-0.0933,0.012,1.2283
268,-0.0996,0.0076,1.2322
269,-0.0962,0.0139,1.2368
270,-0.0952,0.0095,1.2329
271,-0.0952,0.0054,1.2178
272,-0.0969,0.0085,1.2126
273,-0.0977,0.0029,1.1919
274,-0.1006,0.0063,1.1863
275,-0.1033,-0.0051,1.1724
276,-0.0991,-0.0063,1.1658
277,-0.1077,-0.0032,1.1592
278,-0.1064,-0.0059,1.1292
279,-0.0979,-0.0002,1.1155
280,-0.0947,-0.0088,1.0876
281,-0.0991,-0.01,1.0793
282,-0.0938,-0.0232,1.0676
283,-0.082,-0.0176,1.0559
284,-0.0872,-0.0168,1.043
285,-0.0759,-0.0139,1.0127
286,-0.0762,-0.0149,0.9941
287,-0.0688,-0.0142,0.9963
288,-0.0684,-0.0151,0.9897
289,-0.0549,-0.0154,0.9556
290,-0.0586,-0.0222,0.9446
291,-0.0566,-0.0142,0.9321
292,-0.0527,-0.0215,0.939
293,-0.0432,-0.0193,0.9182
294,-0.0349,-0.0137,0.9094
295,-0.0327,-0.0237,0.8987
296,-0.0374,-0.0164,0.9062
297,-0.0315,-0.0151,0.9033
298,-0.0315,-0.022,0.8945
299,-0.0288,-0.0137,0.895
300,-0.0312,-0.0188,0.8933
301,-0.0278,-0.0229,0.8982
302,-0.0349,-0.0208,0.9023
303,-0.0254,-0.0198,0.908
304,-0.0337,-0.02,0.9131
305,-0.031,-0.0208,0.9185
306,-0.0374,-0.0144,0.9268
307,-0.0337,-0.0212,0.9351
308,-0.0364,-0.0193,0.9512
309,-0.0408,-0.0198,0.9617
310,-0.0327,-0.0156,0.9844
311,-0.0403,-0.022,0.9866
312,-0.0469,-0.0088,0.9929
313,-0.052,-0.0059,1.0269
314,-0.0425,-0.0085,1.0415
315,-0.0461,-0.0105,1.0493
316,-0.0469,-0.0144,1.0605
317,-0.052,-0.01,1.0847
318,-0.0488,-0.0071,1.1033
319,-0.0459,-0.0066,1.1108
320,-0.0488,-0.0044,1.1165
321,-0.052,-0.0085,1.1296
322,-0.0457,-0.0078,1.1492
323,-0.0437,-0.0034,1.1655
324,-0.053,0.0005,1.1812
325,-0.0503,0.0051,1.1899
326,-0.0569,-0.0117,1.1963
327,-0.0464,-0.0005,1.2029
328,-0.0537,0.0061,1.217
329,-0.0569,-0.0024,1.2207
330,-0.0574,-0.0024,1.2234
331,-0.0559,0.0012,1.2275
332,-0.0613,-0.001,1.2222
333,-0.0635,0.0037,1.2307
334,-0.0603,0.0017,1.2273
335,-0.0625,0.0012,1.218
336,-0.0708,-0.0002,1.2073
337,-0.071,0.0039,1.2019
338,-0.0732,0.0042,1.1919
339,-0.0728,0.0027,1.1807
340,-0.0718,0.0081,1.1838
341,-0.0781,0.0085,1.1589
342,-0.0703,0.0071,1.136
343,-0.0779,0.0139,1.1431
344,-0.0747,0.0127,1.1355
345,-0.0706,0.0178,1.1155
346,-0.0669,0.0137,1.0862
347,-0.0737,0.0068,1.0762
348,-0.0742,0.0132,1.0728
349,-0.0679,0.0232,1.0564
350,-0.0657,0.0173,1.0374
351,-0.0664,0.0181,1.0251
352,-0.0669,0.0237,1.0073
353,-0.0598,0.0215,0.9937
354,-0.0615,0.021,0.9783
355,-0.0615,0.0225,0.9653
356,-0.0588,0.0239,0.9563
357,-0.0586,0.02,0.9438
358,-0.051,0.0161,0.9363
359,-0.0562,0.0264,0.929
360,-0.0596,0.0332,0.9226
361,-0.0547,0.0247,0.9165
362,-0.05,0.0281,0.9082
363,-0.0503,0.0225,0.8992
364,-0.0562,0.0239,0.9084
365,-0.0461,0.021,0.9026
366,-0.0469,0.0227,0.906
367,-0.0518,0.0315,0.9099
368,-0.0579,0.0339,0.9185
369,-0.0471,0.0315,0.9158
370,-0.042,0.0164,0.9231
371,-0.0476,0.0232,0.9319
372,-0.0515,0.0251,0.9446
373,-0.0457,0.02,0.95
374,-0.0479,0.0259,0.957
375,-0.0469,0.0286,0.978
376,-0.0503,0.0256,0.988
377,-0.0486,0.0215,1.0044
378,-0.0525,0.0149,1.0132
379,-0.0623,0.0161,1.0269
380,-0.0576,0.0264,1.0518
381,-0.0586,0.0291,1.0703
382,-0.0615,0.0273,1.0786
383,-0.0684,0.0193,1.0869
384,-0.0664,0.0208,1.1018
385,-0.0713,0.0234,1.1392
386,-0.0776,0.0168,1.1401
387,-0.0852,0.0149,1.145
388,-0.0906,0.0173,1.1653
389,-0.0891,0.0254,1.1848
390,-0.0891,0.0149,1.2007
391,-0.0935,0.0139,1.1995
392,-0.105,0.0034,1.2031
393,-0.0962,0.0093,1.2129
394,-0.0969,0.0144,1.2278
395,-0.0972,0.0103,1.2227
396,-0.1028,-0.0005,1.2161
397,-0.1028,0.0029,1.2175
398,-0.0945,0.0017,1.23
399,-0.0979,-0.0017,1.2168
400,-0.0957,0.0022,1.2085
401,-0.0918,0.0046,1.2063
402,-0.0959,0.0049,1.197
403,-0.0869,0.0002,1.178
404,-0.0886,-0.0073,1.1724
405,-0.0867,-0.0002,1.1584
406,-0.0796,-0.0085,1.1497
407,-0.0754,-0.0059,1.1157
408,-0.0715,-0.0068,1.1094
409,-0.0769,-0.0051,1.093
