TimeStartup,TimeGps,TimeSyncIn,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,MagX,MagY,MagZ,Temperature,Pressure
258835007000,258835007000,258835007000,-144.208,-000.089,+000.156,+00.000005,-00.000494,-00.000348,-00.0289,-00.0423,-09.7491,-00.0289,-00.0423,-09.7491,+00.000008,-00.000389,-00.001527,-0.543,+0.814,+1.239,+036.52,+100.09
258837507000,258837507000,258837507000,-144.208,-000.089,+000.156,-00.000020,-00.000352,-00.000301,+00.0195,-00.0386,-09.7696,+00.0195,-00.0386,-09.7696,-00.000017,-00.000247,-00.001480,-0.543,+0.814,+1.239,+036.52,+100.09
258840007000,258840007000,258840007000,-144.208,-000.089,+000.156,+00.000548,-00.000449,-00.000581,-00.0321,-00.0379,-09.7834,-00.0321,-00.0379,-09.7834,+00.000551,-00.000344,-00.001759,-0.544,+0.814,+1.243,+036.52,+100.09
258842507000,258842507000,258842507000,-144.208,-000.090,+000.157,+00.000723,-00.000575,-00.000045,-00.0157,-00.0360,-09.7703,-00.0157,-00.0360,-09.7703,+00.000725,-00.000471,-00.001223,-0.546,+0.814,+1.239,+036.52,+100.09
258845007000,258845007000,258845007000,-144.208,-000.089,+000.157,-00.000033,+00.000197,-00.000358,+00.0366,-00.0012,-09.7462,+00.0366,-00.0012,-09.7462,-00.000031,+00.000302,-00.001537,-0.546,+0.814,+1.239,+036.52,+100.09
258847507000,258847507000,258847507000,-144.208,-000.089,+000.156,-00.000730,+00.000737,-00.000266,-00.0302,-00.0214,-09.7383,-00.0302,-00.0214,-09.7383,-00.000728,+00.000841,-00.001445,-0.545,+0.813,+1.239,+036.52,+100.09
258850007000,258850007000,258850007000,-144.208,-000.089,+000.156,+00.000074,+00.000462,-00.000875,-00.0289,-00.0557,-09.7653,-00.0289,-00.0557,-09.7653,+00.000077,+00.000566,-00.002054,-0.545,+0.813,+1.239,+036.52,+100.09
258852507000,258852507000,258852507000,-144.208,-000.089,+000.156,-00.000319,+00.000773,-00.000719,+00.0237,-00.0410,-09.7799,+00.0237,-00.0410,-09.7799,-00.000317,+00.000878,-00.001898,-0.541,+0.810,+1.241,+036.52,+100.09
258855007000,258855007000,258855007000,-144.208,-000.089,+000.156,-00.000615,+00.000507,+00.000655,-00.0461,-00.0510,-09.7580,-00.0461,-00.0510,-09.7580,-00.000612,+00.000612,-00.000523,-0.541,+0.815,+1.239,+036.52,+100.09
258857507000,258857507000,258857507000,-144.208,-000.089,+000.157,-00.000001,-00.000845,-00.000050,-00.0310,-00.0509,-09.7455,-00.0310,-00.0509,-09.7455,+00.000001,-00.000740,-00.001228,-0.541,+0.815,+1.239,+036.52,+100.10
258860007000,258860007000,258860007000,-144.208,-000.089,+000.157,-00.000477,-00.001254,-00.000907,+00.0221,-00.0218,-09.7585,+00.0221,-00.0218,-09.7585,-00.000475,-00.001149,-00.002086,-0.545,+0.813,+1.239,+036.52,+100.10
258862507000,258862507000,258862507000,-144.208,-000.089,+000.156,-00.001192,+00.000399,-00.000133,-00.0422,-00.0501,-09.7613,-00.0422,-00.0501,-09.7613,-00.001189,+00.000504,-00.001312,-0.545,+0.813,+1.239,+036.52,+100.09
258865007000,258865007000,258865007000,-144.208,-000.089,+000.156,-00.000566,+00.001206,+00.000115,-00.0089,-00.0480,-09.7582,-00.0089,-00.0480,-09.7582,-00.000564,+00.001311,-00.001064,-0.538,+0.811,+1.244,+036.52,+100.09
258867507000,258867507000,258867507000,-144.208,-000.089,+000.157,+00.000092,-00.000026,-00.000018,+00.0514,00.0000,-09.7670,+00.0514,00.0000,-09.7670,+00.000095,+00.000079,-00.001197,-0.541,+0.811,+1.243,+036.52,+100.09
258870007000,258870007000,258870007000,-144.208,-000.089,+000.157,+00.000285,-00.000423,-00.000502,-00.0179,-00.0065,-09.7632,-00.0179,-00.0065,-09.7632,+00.000287,-00.000318,-00.001681,-0.541,+0.811,+1.243,+036.52,+100.09
258872507000,258872507000,258872507000,-144.208,-000.089,+000.156,-00.000322,-00.000410,-00.000306,-00.0137,-00.0224,-09.7654,-00.0137,-00.0224,-09.7654,-00.000320,-00.000305,-00.001485,-0.541,+0.815,+1.237,+036.52,+100.10
258875007000,258875007000,258875007000,-144.208,-000.089,+000.156,-00.000679,+00.000342,+00.000674,+00.0300,-00.0265,-09.7762,+00.0300,-00.0265,-09.7762,-00.000676,+00.000446,-00.000505,-0.541,+0.815,+1.237,+036.52,+100.10
258877507000,258877507000,258877507000,-144.208,-000.088,+000.156,-00.000093,+00.000767,-00.000119,-00.0334,-00.0296,-09.7578,-00.0334,-00.0296,-09.7578,-00.000090,+00.000872,-00.001298,-0.544,+0.814,+1.236,+036.52,+100.09
258880007000,258880007000,258880007000,-144.208,-000.088,+000.156,-00.000337,-00.000012,-00.000518,-00.0045,-00.0184,-09.7577,-00.0045,-00.0184,-09.7577,-00.000334,+00.000092,-00.001696,-0.545,+0.814,+1.239,+036.52,+100.09
258882507000,258882507000,258882507000,-144.208,-000.088,+000.156,-00.000481,-00.000118,-00.000435,+00.0330,-00.0016,-09.7836,+00.0330,-00.0016,-09.7836,-00.000478,-00.000013,-00.001614,-0.545,+0.814,+1.239,+036.52,+100.10
258885007000,258885007000,258885007000,-144.208,-000.088,+000.156,-00.000036,+00.000269,-00.000905,-00.0356,-00.0254,-09.8010,-00.0356,-00.0254,-09.8010,-00.000033,+00.000373,-00.002084,-0.544,+0.811,+1.239,+036.52,+100.10
258887507000,258887507000,258887507000,-144.208,-000.088,+000.156,-00.000090,-00.000195,-00.000799,-00.0079,-00.0194,-09.7997,-00.0079,-00.0194,-09.7997,-00.000087,-00.000091,-00.001978,-0.544,+0.811,+1.239,+036.52,+100.09
258890007000,258890007000,258890007000,-144.208,-000.088,+000.156,-00.000388,-00.000715,-00.000358,+00.0181,+00.0165,-09.7769,+00.0181,+00.0165,-09.7769,-00.000386,-00.000610,-00.001537,-0.546,+0.811,+1.244,+036.52,+100.09
258892507000,258892507000,258892507000,-144.208,-000.088,+000.155,+00.000020,+00.000356,+00.000291,-00.0340,-00.0186,-09.7756,-00.0340,-00.0186,-09.7756,+00.000022,+00.000461,-00.000888,-0.546,+0.811,+1.244,+036.52,+100.08
258895007000,258895007000,258895007000,-144.208,-000.088,+000.155,+00.000318,+00.000769,-00.000059,-00.0136,-00.0346,-09.7590,-00.0136,-00.0346,-09.7590,+00.000321,+00.000874,-00.001238,-0.543,+0.814,+1.239,+036.52,+100.08
